tract_id,life_expectancy,standard_error
42101026800,76.2,1.6475
42101026900,76.6,1.8398
42101027000,76.9,1.6662
42101027200,76.1,1.4019
42101027300,75.7,1.3573
42101027402,74.6,1.471
42101027500,76.3,1.5636
42101027600,73.4,1.719
42101027700,73.2,2.3757
42101027800,74.9,1.2021
42101027901,73.5,1.5961
42101027902,74.5,1.4146
42101028000,70.8,1.5377
42101028100,78.8,3.5079
42101028200,75,1.7159
42101028300,72.6,1.9935
42101028400,73.3,2.3369
42101028500,73,1.8642
42101028600,76.6,3.5694
42101028700,72.3,3.5823
42101028800,74.5,2.0304
42101028901,78,2.5328
42101028902,75.8,1.6281
42101029000,73.8,1.9329
42101029100,74.8,1.7461
42101029200,76.8,1.5638
42101029300,67.6,1.9561
42101029400,68.1,2.6188
42101029800,75.6,1.199
42101029900,68.4,1.4533
42101030000,69,1.4314
42101030100,70.6,1.849
42101030200,74.3,2.0603
42101030501,76.4,2.1034
42101030502,76.4,1.1642
42101030600,77.8,1.0891
42101030700,77.7,2.1483
42101030800,78.9,1.5263
42101030900,79.7,1.7602
42101031000,81.5,1.627
42101031101,76.3,1.6178
42101031102,69,3.839
42101031200,76.4,1.4898
42101031300,76.8,1.2885
42101031401,77.4,2.0642
42101031402,75.8,2.8047
42101031501,76.6,1.5641
42101031502,77.3,1.1884
42101031600,75.8,0.9677
42101031700,75.4,1.27
42101031800,76.3,1.8988
42101031900,73.1,1.5699
42101032000,75.4,1.1541
42101032100,68.8,1.8432
42101032300,70.5,1.757
42101032500,72,1.3756
42101032600,74.1,1.2925
42101032900,71.6,1.3567
42101033000,76.7,1.8412
42101033101,75.6,1.6861
42101033102,74.8,1.6561
42101033200,78.3,1.5209
42101033300,76,1.1355
42101033400,77.8,1.1707
42101033500,80.4,1.6981
42101033600,78.2,1.2938
42101033701,75.7,1.4956
42101033702,78.4,1.372
42101033800,82.6,2.4893
42101033900,78.5,1.4765
42101034000,75.1,1.362
42101034100,76.8,1.4405
42101034200,79.4,2.0479
42101034400,77.8,1.002
42101034501,81.4,1.7713
42101034502,82.2,2.6291
42101034600,81.2,2.4266
42101034701,75.7,1.2061
42101034702,76.1,1.0919
42101034801,75.1,1.8907
42101034802,76.5,2.6524
42101034803,79.5,1.431
42101034900,71.8,1.4551
42101035100,81,1.7656
42101035200,76.7,1.5012
42101035301,75.5,1.2405
42101035302,77.8,1.3291
42101035500,80.2,1.4928
42101035601,79.3,0.9841
42101035602,75.8,1.2064
42101035701,78,1.864
42101035702,79.4,1.6979
42101035800,86.1,3.5953
42101035900,80.6,1.7459
42101036000,78.2,1.5059
42101036100,77,1.3475
42101036201,80.5,1.8548
42101036202,77.6,1.3115
42101036203,79.5,1.4356
42101036301,73.8,1.253
42101036302,74.8,1.3858
42101036303,77.2,1.0368
42101036501,77.3,1.1941
42101036502,83.2,1.9972
42101036600,81.1,2.0601
42101036700,76.4,2.375
42101037200,77.8,1.2836
42101037300,80.7,1.5955
42101037500,82.9,2.053
42101037600,76.5,3.9218
42101037700,71.5,1.7332
42101037800,73,2.1549
42101037900,73.4,1.6732
42101038000,78.8,1.2534
42101038100,69.7,3.2369
42101038200,69.8,1.7766
42101038300,70.9,1.7956
42101038400,80.7,1.3782
42101038500,84.8,1.9821
42101038600,81.4,1.989
42101038700,80.5,1.5267
42101038800,81.2,1.8023
42101038900,76.1,1.0026
42101039000,73.4,1.8361
42103950102,80.2,1.3572
42103950103,78.2,1.2278
42103950104,80.1,1.7251
42103950202,81.7,2.9111
42103950301,80.6,2.0353
42103950501,77.2,1.2653
42103950502,81.9,2.2041
42103950601,81.8,1.8962
42103950603,80.9,1.2054
42103950605,79.8,2.7463
42103950701,80.6,2.9361
42103950702,79.4,1.8287
42103950801,81.8,3.172
42103950802,80.3,1.6718
42103950900,82.7,2.7177
42105950100,81.9,1.3569
42105950200,81.3,1.6621
42105950300,78.6,1.163
42105950400,76.4,1.2023
42105950500,80.4,1.6508
42107000100,80.3,1.3034
42107000200,72.7,1.6716
42107000300,80.4,1.224
42107000400,82,1.3626
42107000500,69.8,1.3875
42107000601,73.5,1.5198
42107000602,63.1,3.7676
42107000700,74,1.4956
42107000800,72.8,1.9698
42107000900,80.7,1.1492
