TRACTCE,GEOID,NAME,centx,centy
409803.00,42045409803.00,4098.03,-75.40,40.04
6600.00,42077006600.00,66.00,-75.50,40.54
409903.00,42045409903.00,4099.03,-75.39,39.99
461000.00,42003461000.00,4610.00,-80.11,40.51
437000.00,42003437000.00,4370.00,-80.09,40.54
981800.00,42003981800.00,9818.00,-79.90,40.48
10700.00,42081010700.00,107.00,-76.75,41.28
404800.00,42045404800.00,4048.00,-75.35,39.86
404900.00,42045404900.00,4049.00,-75.36,39.86
405000.00,42045405000.00,4050.00,-75.36,39.85
406700.00,42045406700.00,4067.00,-75.43,39.82
406801.00,42045406801.00,4068.01,-75.44,39.85
407802.00,42045407802.00,4078.02,-75.34,39.94
406803.00,42045406803.00,4068.03,-75.46,39.84
406903.00,42045406903.00,4069.03,-75.44,39.86
20300.00,42025020300.00,203.00,-75.84,40.85
22100.00,42043022100.00,221.00,-76.83,40.28
22200.00,42043022200.00,222.00,-76.85,40.28
473200.00,42003473200.00,4732.00,-80.05,40.38
9100.00,42077009100.00,91.00,-75.41,40.64
9200.00,42077009200.00,92.00,-75.42,40.64
9300.00,42077009300.00,93.00,-75.41,40.63
9400.00,42077009400.00,94.00,-75.41,40.62
9500.00,42077009500.00,95.00,-75.39,40.62
405100.00,42045405100.00,4051.00,-75.38,39.85
405200.00,42045405200.00,4052.00,-75.38,39.84
407000.00,42045407000.00,4070.00,-75.47,39.89
407102.00,42045407102.00,4071.02,-75.40,39.90
407803.00,42045407803.00,4078.03,-75.33,39.93
468800.00,42003468800.00,4688.00,-80.09,40.41
468900.00,42003468900.00,4689.00,-80.08,40.40
473401.00,42003473401.00,4734.01,-80.04,40.37
475102.00,42003475102.00,4751.02,-80.04,40.34
462600.00,42003462600.00,4626.00,-80.07,40.47
463900.00,42003463900.00,4639.00,-80.07,40.47
476200.00,42003476200.00,4762.00,-80.01,40.36
407804.00,42045407804.00,4078.04,-75.32,39.94
407805.00,42045407805.00,4078.05,-75.32,39.92
473402.00,42003473402.00,4734.02,-80.04,40.36
477300.00,42003477300.00,4773.00,-79.98,40.36
403601.00,42045403601.00,4036.01,-75.30,39.89
403602.00,42045403602.00,4036.02,-75.29,39.88
408103.00,42045408103.00,4081.03,-75.34,39.96
408300.00,42045408300.00,4083.00,-75.32,40.01
22300.00,42043022300.00,223.00,-76.82,40.29
407202.00,42045407202.00,4072.02,-75.43,39.91
407201.00,42045407201.00,4072.01,-75.44,39.92
473500.00,42003473500.00,4735.00,-80.05,40.37
479000.00,42003479000.00,4790.00,-80.01,40.38
473601.00,42003473601.00,4736.01,-80.06,40.38
473602.00,42003473602.00,4736.02,-80.07,40.37
474203.00,42003474203.00,4742.03,-80.08,40.31
403502.00,42045403502.00,4035.02,-75.30,39.90
478100.00,42003478100.00,4781.00,-79.98,40.37
80600.00,42097080600.00,806.00,-76.79,40.90
81000.00,42097081000.00,810.00,-76.41,40.80
81100.00,42097081100.00,811.00,-76.42,40.80
81400.00,42097081400.00,814.00,-76.57,40.78
81500.00,42097081500.00,815.00,-76.56,40.79
82000.00,42097082000.00,820.00,-76.79,40.87
80800.00,42097080800.00,808.00,-76.61,40.84
80400.00,42097080400.00,804.00,-76.83,40.97
81800.00,42097081800.00,818.00,-76.64,40.76
81900.00,42097081900.00,819.00,-76.77,40.83
464300.00,42003464300.00,4643.00,-80.07,40.44
80900.00,42097080900.00,809.00,-76.44,40.80
80100.00,42097080100.00,801.00,-76.78,41.09
80300.00,42097080300.00,803.00,-76.85,41.01
80700.00,42097080700.00,807.00,-76.63,40.92
80500.00,42097080500.00,805.00,-76.77,40.93
82300.00,42097082300.00,823.00,-76.76,40.69
82400.00,42097082400.00,824.00,-76.47,40.80
82100.00,42097082100.00,821.00,-76.79,40.86
20700.00,42025020700.00,207.00,-75.66,40.85
22401.00,42043022401.00,224.01,-76.83,40.33
22403.00,42043022403.00,224.03,-76.82,40.31
405300.00,42045405300.00,4053.00,-75.39,39.84
405400.00,42045405400.00,4054.00,-75.40,39.84
10800.00,42027010800.00,108.00,-77.39,40.92
472100.00,42003472100.00,4721.00,-80.04,40.40
464400.00,42003464400.00,4644.00,-80.06,40.47
465600.00,42003465600.00,4656.00,-80.07,40.44
472200.00,42003472200.00,4722.00,-80.04,40.39
81700.00,42097081700.00,817.00,-76.55,40.79
81600.00,42097081600.00,816.00,-76.56,40.79
80200.00,42097080200.00,802.00,-76.84,41.12
81200.00,42097081200.00,812.00,-76.55,40.79
81300.00,42097081300.00,813.00,-76.58,40.79
82200.00,42097082200.00,822.00,-76.79,40.86
472300.00,42003472300.00,4723.00,-80.03,40.39
472400.00,42003472400.00,4724.00,-80.04,40.39
473100.00,42003473100.00,4731.00,-80.05,40.39
408500.00,42045408500.00,4085.00,-75.33,39.98
23000.00,42043023000.00,230.00,-76.82,40.26
23100.00,42043023100.00,231.00,-76.83,40.26
23900.00,42043023900.00,239.00,-76.73,40.21
468700.00,42003468700.00,4687.00,-80.09,40.41
12000.00,42027012000.00,120.00,-77.85,40.80
12200.00,42027012200.00,122.00,-77.87,40.80
12300.00,42027012300.00,123.00,-77.88,40.80
12400.00,42027012400.00,124.00,-77.86,40.79
11902.00,42027011902.00,119.02,-77.95,40.74
12500.00,42027012500.00,125.00,-77.86,40.79
12600.00,42027012600.00,126.00,-77.86,40.79
38700.00,42101038700.00,387.00,-75.21,40.08
38800.00,42101038800.00,388.00,-75.20,40.06
38900.00,42101038900.00,389.00,-75.17,40.05
105206.00,42017105206.00,1052.06,-74.92,40.24
105208.00,42017105208.00,1052.08,-74.94,40.25
102500.00,42069102500.00,1025.00,-75.67,41.40
37900.00,42101037900.00,379.00,-75.09,39.99
38200.00,42101038200.00,382.00,-75.10,40.00
38000.00,42101038000.00,380.00,-75.08,40.01
507000.00,42003507000.00,5070.00,-79.81,40.38
403800.00,42045403800.00,4038.00,-75.31,39.89
508000.00,42003508000.00,5080.00,-79.81,40.39
301202.00,42089301202.00,3012.02,-75.40,40.92
300402.00,42089300402.00,3004.02,-75.28,41.04
38300.00,42101038300.00,383.00,-75.12,40.01
39000.00,42101039000.00,390.00,-75.09,40.04
38100.00,42101038100.00,381.00,-75.04,40.02
21200.00,42043021200.00,212.00,-76.87,40.27
486900.00,42003486900.00,4869.00,-79.85,40.36
106200.00,42017106200.00,1062.00,-75.07,40.20
483800.00,42003483800.00,4838.00,-79.91,40.41
487000.00,42003487000.00,4870.00,-79.89,40.35
488200.00,42003488200.00,4882.00,-79.87,40.39
300401.00,42089300401.00,3004.01,-75.34,41.07
300304.00,42089300304.00,3003.04,-75.48,41.04
301203.00,42089301203.00,3012.03,-75.36,40.88
300102.00,42089300102.00,3001.02,-75.15,41.10
24300.00,42043024300.00,243.00,-76.65,40.28
24600.00,42043024600.00,246.00,-76.75,40.36
20400.00,42043020400.00,204.00,-76.89,40.27
25300.00,42043025300.00,253.00,-76.93,40.57
20300.00,42043020300.00,203.00,-76.89,40.27
104505.00,42017104505.00,1045.05,-75.09,40.34
492900.00,42003492900.00,4929.00,-79.89,40.29
485000.00,42003485000.00,4850.00,-79.89,40.40
301000.00,42029301000.00,3010.00,-75.56,40.13
13702.00,42011013702.00,137.02,-75.94,40.51
10201.00,42011010201.00,102.01,-76.02,40.47
12105.00,42011012105.00,121.05,-75.85,40.31
300900.00,42089300900.00,3009.00,-75.21,41.00
403901.00,42045403901.00,4039.01,-75.32,39.88
403902.00,42045403902.00,4039.02,-75.33,39.88
406100.00,42045406100.00,4061.00,-75.38,39.87
489001.00,42003489001.00,4890.01,-79.95,40.33
494000.00,42003494000.00,4940.00,-79.89,40.27
11800.00,42081011800.00,118.00,-77.17,41.16
301302.00,42089301302.00,3013.02,-75.45,40.86
300301.00,42089300301.00,3003.01,-75.48,41.17
300600.00,42089300600.00,3006.00,-75.18,41.01
22501.00,42043022501.00,225.01,-76.82,40.35
21800.00,42043021800.00,218.00,-76.91,40.32
22604.00,42043022604.00,226.04,-76.76,40.29
24101.00,42043024101.00,241.01,-76.66,40.30
24002.00,42043024002.00,240.02,-76.62,40.22
22000.00,42043022000.00,220.00,-76.85,40.29
21100.00,42043021100.00,211.00,-76.88,40.30
22502.00,42043022502.00,225.02,-76.78,40.34
24503.00,42043024503.00,245.03,-76.71,40.30
,,,,
TRACTCE,GEOID,NAME,,centy
20100.00,42043020100.00,201.00,-76.88,40.26
22601.00,42043022601.00,226.01,-76.79,40.31
25100.00,42043025100.00,251.00,-76.77,40.61
24700.00,42043024700.00,247.00,-76.81,40.43
22800.00,42043022800.00,228.00,-76.77,40.25
23400.00,42043023400.00,234.00,-76.82,40.22
24200.00,42043024200.00,242.00,-76.63,40.29
24102.00,42043024102.00,241.02,-76.62,40.27
24001.00,42043024001.00,240.01,-76.70,40.18
22900.00,42043022900.00,229.00,-76.83,40.23
20900.00,42043020900.00,209.00,-76.91,40.29
70100.00,42109070100.00,701.00,-76.85,40.86
70400.00,42109070400.00,704.00,-77.11,40.74
480101.00,42003480101.00,4801.01,-79.98,40.34
70600.00,42109070600.00,706.00,-76.93,40.73
70200.00,42109070200.00,702.00,-76.94,40.83
6302.00,42077006302.00,63.02,-75.59,40.51
106300.00,42017106300.00,1063.00,-75.25,40.34
6304.00,42077006304.00,63.04,-75.53,40.55
12104.00,42011012104.00,121.04,-75.85,40.34
486700.00,42003486700.00,4867.00,-79.85,40.38
406201.00,42045406201.00,4062.01,-75.39,39.87
406202.00,42045406202.00,4062.02,-75.40,39.87
406300.00,42045406300.00,4063.00,-75.38,39.86
13301.00,42011013301.00,133.01,-75.58,40.45
10303.00,42011010303.00,103.03,-75.97,40.44
1001.00,42101001001.00,10.01,-75.15,39.95
402.00,42101000402.00,4.02,-75.17,39.95
20500.00,42043020500.00,205.00,-76.90,40.27
498000.00,42003498000.00,4980.00,-79.86,40.32
499300.00,42003499300.00,4993.00,-79.89,40.33
499400.00,42003499400.00,4994.00,-79.89,40.32
36900.00,42101036900.00,369.00,-75.19,39.95
105207.00,42017105207.00,1052.07,-74.95,40.26
20600.00,42043020600.00,206.00,-76.89,40.28
20700.00,42043020700.00,207.00,-76.89,40.28
20800.00,42043020800.00,208.00,-76.91,40.28
37300.00,42101037300.00,373.00,-75.18,39.91
37200.00,42101037200.00,372.00,-75.16,39.91
24800.00,42043024800.00,248.00,-76.82,40.49
6500.00,42077006500.00,65.00,-75.50,40.53
,,,,
TRACTCE,GEOID,NAME,,centy
,,,,
500300.00,42003500300.00,5003.00,-79.87,40.34
501000.00,42003501000.00,5010.00,-79.83,40.32
38400.00,42101038400.00,384.00,-75.23,40.07
38600.00,42101038600.00,386.00,-75.21,40.06
38500.00,42101038500.00,385.00,-75.21,40.08
489002.00,42003489002.00,4890.02,-79.97,40.33
480102.00,42003480102.00,4801.02,-80.00,40.34
481000.00,42003481000.00,4810.00,-79.99,40.41
551900.00,42003551900.00,5519.00,-79.85,40.36
484500.00,42003484500.00,4845.00,-79.90,40.38
562500.00,42003562500.00,5625.00,-80.05,40.46
217001.00,42079217001.00,2170.01,-76.05,40.94
802900.00,42129802900.00,8029.00,-79.67,40.34
160800.00,42003160800.00,1608.00,-79.97,40.42
160900.00,42003160900.00,1609.00,-79.96,40.42
101808.00,42017101808.00,1018.08,-75.13,40.23
15802.00,42095015802.00,158.02,-75.34,40.82
482500.00,42003482500.00,4825.00,-79.92,40.40
17607.00,42095017607.00,176.07,-75.30,40.65
11400.00,42013011400.00,114.00,-78.40,40.33
561500.00,42003561500.00,5615.00,-79.87,40.44
120800.00,42003120800.00,1208.00,-79.91,40.46
90700.00,42119090700.00,907.00,-76.89,40.96
475101.00,42003475101.00,4751.01,-80.04,40.35
190300.00,42003190300.00,1903.00,-80.01,40.43
101807.00,42017101807.00,1018.07,-75.13,40.24
105012.00,42017105012.00,1050.12,-75.02,40.19
102100.00,42069102100.00,1021.00,-75.69,41.41
112200.00,42069112200.00,1122.00,-75.64,41.42
112300.00,42069112300.00,1123.00,-75.64,41.42
112600.00,42069112600.00,1126.00,-75.74,41.37
102200.00,42069102200.00,1022.00,-75.69,41.40
102300.00,42069102300.00,1023.00,-75.68,41.41
15700.00,42095015700.00,157.00,-75.29,40.85
2000.00,42075002000.00,20.00,-76.56,40.48
2400.00,42075002400.00,24.00,-76.54,40.36
3700.00,42075003700.00,37.00,-76.52,40.29
3500.00,42075003500.00,35.00,-76.45,40.31
2701.00,42075002701.00,27.01,-76.45,40.36
2300.00,42075002300.00,23.00,-76.60,40.41
,,,,
TRACTCE,GEOID,NAME,,centy
3800.00,42075003800.00,38.00,-76.59,40.32
16902.00,42095016902.00,169.02,-75.31,40.71
106402.00,42017106402.00,1064.02,-75.40,40.44
11600.00,42049011600.00,116.00,-79.83,42.21
10101.00,42049010101.00,101.01,-80.45,41.96
10202.00,42049010202.00,102.02,-80.33,41.98
10103.00,42049010103.00,101.03,-80.43,41.89
11503.00,42049011503.00,115.03,-80.00,42.16
10903.00,42049010903.00,109.03,-80.13,42.06
12201.00,42049012201.00,122.01,-80.15,41.91
1200.00,42049001200.00,12.00,-80.09,42.12
12001.00,42049012001.00,120.01,-79.82,41.93
11802.00,42049011802.00,118.02,-79.69,41.92
110700.00,42069110700.00,1107.00,-75.51,41.57
110800.00,42069110800.00,1108.00,-75.49,41.58
110900.00,42069110900.00,1109.00,-75.50,41.56
111000.00,42069111000.00,1110.00,-75.55,41.53
111200.00,42069111200.00,1112.00,-75.60,41.49
25500.00,42101025500.00,255.00,-75.18,40.06
25600.00,42101025600.00,256.00,-75.19,40.07
25700.00,42101025700.00,257.00,-75.20,40.07
25800.00,42101025800.00,258.00,-75.18,40.07
25900.00,42101025900.00,259.00,-75.18,40.08
17602.00,42101017602.00,176.02,-75.13,40.00
17800.00,42101017800.00,178.00,-75.12,39.99
17900.00,42101017900.00,179.00,-75.11,39.99
17701.00,42101017701.00,177.01,-75.12,40.00
35601.00,42101035601.00,356.01,-75.04,40.10
980400.00,42101980400.00,9804.00,-75.23,39.88
13402.00,42101013402.00,134.02,-75.17,39.97
13601.00,42101013601.00,136.01,-75.18,39.97
102.00,42077000102.00,1.02,-75.45,40.62
8801.00,42101008801.00,88.01,-75.20,39.95
980500.00,42101980500.00,9805.00,-75.14,40.02
16700.00,42095016700.00,167.00,-75.33,40.74
16800.00,42095016800.00,168.00,-75.31,40.74
17200.00,42095017200.00,172.00,-75.24,40.69
17300.00,42095017300.00,173.00,-75.24,40.68
16600.00,42095016600.00,166.00,-75.39,40.73
15200.00,42101015200.00,152.00,-75.17,39.99
18300.00,42101018300.00,183.00,-75.07,40.00
,,,,
TRACTCE,GEOID,NAME,,centy
,,,,
18400.00,42101018400.00,184.00,-75.06,40.00
19000.00,42101019000.00,190.00,-75.10,40.01
19100.00,42101019100.00,191.00,-75.11,40.01
19200.00,42101019200.00,192.00,-75.12,40.00
19700.00,42101019700.00,197.00,-75.14,40.02
101800.00,42069101800.00,1018.00,-75.69,41.43
101600.00,42069101600.00,1016.00,-75.68,41.42
110202.00,42069110202.00,1102.02,-75.62,41.54
110402.00,42069110402.00,1104.02,-75.71,41.52
111100.00,42069111100.00,1111.00,-75.55,41.51
112100.00,42069112100.00,1121.00,-75.60,41.41
112800.00,42069112800.00,1128.00,-75.70,41.36
100600.00,42069100600.00,1006.00,-75.65,41.41
110401.00,42069110401.00,1104.01,-75.67,41.50
110300.00,42069110300.00,1103.00,-75.73,41.54
110500.00,42069110500.00,1105.00,-75.71,41.49
112700.00,42069112700.00,1127.00,-75.73,41.36
100500.00,42069100500.00,1005.00,-75.64,41.40
112400.00,42069112400.00,1124.00,-75.77,41.43
111800.00,42069111800.00,1118.00,-75.52,41.42
110201.00,42069110201.00,1102.01,-75.65,41.61
110600.00,42069110600.00,1106.00,-75.51,41.56
100300.00,42069100300.00,1003.00,-75.65,41.41
19800.00,42101019800.00,198.00,-75.14,40.01
19900.00,42101019900.00,199.00,-75.14,40.00
20000.00,42101020000.00,200.00,-75.15,40.00
100200.00,42069100200.00,1002.00,-75.66,41.41
110403.00,42069110403.00,1104.03,-75.70,41.48
102800.00,42069102800.00,1028.00,-75.65,41.37
112500.00,42069112500.00,1125.00,-75.71,41.40
112000.00,42069112000.00,1120.00,-75.61,41.43
101200.00,42069101200.00,1012.00,-75.66,41.45
1900.00,42049001900.00,19.00,-80.08,42.11
2000.00,42049002000.00,20.00,-80.09,42.11
20200.00,42101020200.00,202.00,-75.16,40.01
20300.00,42101020300.00,203.00,-75.15,40.01
17402.00,42095017402.00,174.02,-75.27,40.69
20400.00,42101020400.00,204.00,-75.15,40.02
17501.00,42095017501.00,175.01,-75.26,40.68
17502.00,42095017502.00,175.02,-75.26,40.66
,,,,
TRACTCE,GEOID,NAME,,centy
17603.00,42095017603.00,176.03,-75.33,40.64
20500.00,42101020500.00,205.00,-75.16,40.02
20600.00,42101020600.00,206.00,-75.18,40.02
20700.00,42101020700.00,207.00,-75.19,40.01
20800.00,42101020800.00,208.00,-75.19,40.02
951200.00,42061951200.00,9512.00,-77.95,40.20
950100.00,42061950100.00,9501.00,-77.84,40.65
950600.00,42061950600.00,9506.00,-78.11,40.40
951000.00,42061951000.00,9510.00,-77.85,40.33
950200.00,42061950200.00,9502.00,-78.08,40.65
951300.00,42061951300.00,9513.00,-78.16,40.22
951100.00,42061951100.00,9511.00,-77.81,40.20
950500.00,42061950500.00,9505.00,-77.92,40.50
950800.00,42061950800.00,9508.00,-78.04,40.31
