Census Tract,2019 Total Crime Index,Low_Response_Score,pct_Mobile_Homes_ACS_13_17,pct_Crowd_Occp_U_ACS_13_17,pct_PUB_ASST_INC_ACS_13_17,pct_Sngl_Prns_HHD_ACSMOE_13_17,avg_job_growth_04_13,job_density_13,Incarceration_rate
42101036203,29,15.4,0,1.23,1.74,5.55,0.0903,1081,0.0023
42101036301,57,17.6,1.94,2.21,4.18,6.31,0.0124,4090,0.0142
42101036302,122,22,0,0.91,2.14,7.99,0.0368,706.2,0.0199
42101036303,96,13.3,0.49,0,0.79,6.29,0.0022,871.3,0.0051
42101036400,95,9,0,0,14.35,9.39,-0.0091,2312,
42101036501,629,20.3,0.72,0,4.97,7.88,-0.0084,980,0.0037
42101036502,134,14.9,0,0,0.65,5.18,-0.0159,502.2,0.0086
42101036600,143,20.7,0,1.02,0,9.51,0.0996,7518,0
42101036700,300,23.5,0,2.27,0.45,6.75,0.0043,11352,0.0059
42101036900,304,33.3,0,8.63,0,7.55,0.0673,73708,0.0035
42101037200,186,17.1,0.7,2.83,2.09,6.57,-0.011,2073,0.0096
42101037300,94,15.1,2.3,0,1.52,7.14,0.0008,1247,0.0121
42101037500,167,24.2,0,3.53,2.66,8.91,0.0168,1258,0.0161
42101037600,121,27.2,0,4.1,5.31,7.65,-0.0471,13274,0.0482
42101037700,253,33.6,0,1.5,8.18,8.96,-0.0171,22730,0.0664
42101037800,183,22.2,0,0.29,6.07,11.04,-0.0002,1258,0.0154
42101037900,119,15.5,0,0.81,5.32,8.13,0.0559,6836,0.0108
42101038000,103,26.4,0.95,3.02,5.9,7.91,0.0078,2893,0.0163
42101038100,143,26.5,0,1.61,12.22,10.56,-0.017,2137,0.0216
42101038200,358,27.3,0,1.29,2.47,7.62,-0.0297,4146,0.029
42101038300,282,33.2,2.32,6.49,7.49,10.49,0.0305,5941,0.0287
42101038400,229,13.1,1.02,0.93,2.39,4.93,0.0733,1132,0.001
42101038500,135,16.1,0,0,1.26,5.83,-0.0018,1427,0
42101038600,146,12.2,0,0,0,6.19,-0.0233,315,0.0004
42101038700,123,14.8,0,0.62,0.62,6.02,-0.0716,1991,0.0009
42101038800,91,18.7,0,0.85,1.58,6.1,0.1003,1230,0.0029
42101038900,99,25.4,0,2.52,7.57,10.93,0.0428,1358,0.0323
42101039000,95,30.3,1.12,1.17,6.17,6.48,0.0341,4501,0.0344
42101980000,192,27.1,0,0,0,13.8,0.1399,1434,
42101980100,268,11.3,0,0,7.55,29.17,0.318,28.37,
42101980200,320,5.8,0,0,2.17,23.23,-0.1637,0.498,0
42101980300,38,,,,,,-0.0105,3020,
42101980400,1147,,,,,,0.1831,4047,
42101980500,0,,,,,,,0,
42101980600,0,,,,,,0.1235,11370,
42101980700,0,,,,,,-0.0024,3156,
42101980800,306,,,,,,0.0283,22.14,
42101980900,492,,,,,,-0.0122,1403,
42101989100,621,,,,,,0.0047,4126,
,175,,,,,,,,
